name,value
FBtr0309091.1,Sec23
FBtr0078711.1,Sec23
FBtr0334953.1,elm
FBtr0078732.1,elm
FBtr0078712.1,MED27
FBtr0078730.1,CG2182
FBtr0334945.1,CR44093
FBtr0078713.1,CG1109
FBtr0078714.1,CG1109
FBtr0334951.1,Xe7
FBtr0078728.1,Xe7
FBtr0334952.1,Xe7
FBtr0334946.1,Atg17
FBtr0078716.1,Atg17
FBtr0078727.1,Rab23
FBtr0334947.1,plx
FBtr0302091.1,plx
FBtr0334948.1,plx
FBtr0302092.1,plx
FBtr0302090.1,plx
FBtr0334950.1,CG2104
FBtr0078726.1,CG2104
FBtr0339518.1,cas
FBtr0078725.1,cas
FBtr0343892.1,CR44924
FBtr0343988.1,CG1239
FBtr0343989.1,CG1239
FBtr0078720.1,CG1239
FBtr0301574.1,CG2100
FBtr0078724.1,CG2100
FBtr0078721.1,CG1236
FBtr0078723.1,Sym
FBtr0078722.1,Madm
FBtr0078678.1,CG2091
FBtr0078677.1,Sec8
FBtr0306153.1,CG2082
FBtr0300910.1,CG2082
FBtr0300907.1,CG2082
FBtr0300911.1,CG2082
FBtr0300909.1,CG2082
FBtr0078674.1,CG2082
FBtr0078672.1,CG2082
FBtr0300906.1,CG2082
FBtr0078675.1,CG2082
FBtr0078676.1,CG2082
FBtr0300913.1,CG2082
FBtr0300912.1,CG2082
FBtr0078624.1,jagn
FBtr0078625.1,jagn
FBtr0300739.1,kat-60L1
FBtr0300741.1,kat-60L1
FBtr0300737.1,kat-60L1
FBtr0078627.1,kat-60L1
FBtr0300738.1,kat-60L1
FBtr0300740.1,kat-60L1
FBtr0300736.1,kat-60L1
FBtr0078628.1,kat-60L1
FBtr0078670.1,CG2051
FBtr0078669.1,CG2051
FBtr0078629.1,Rpn5
FBtr0078630.1,CG1218
FBtr0078668.1,CG2046
FBtr0078631.1,CG10979
FBtr0335518.1,CG10979
FBtr0308953.1,CG11000
FBtr0113195.1,CG11000
FBtr0303165.1,CG42675
FBtr0302724.1,CG42675
FBtr0302725.1,CG42675
FBtr0302727.1,CG42675
FBtr0335519.1,CG42675
FBtr0302726.1,CG42675
FBtr0078667.1,Hpr1
FBtr0078666.1,CG2023
FBtr0344117.1,CG2023
FBtr0078638.1,dgrn
FBtr0344116.1,dgrn
FBtr0078639.1,dgrn
FBtr0078640.1,glob3
FBtr0113196.1,CG1208
FBtr0113197.1,CG1208
FBtr0345152.1,CR45192
FBtr0345151.1,CR45192
FBtr0078642.1,CG1213
FBtr0078644.1,CG1213
FBtr0078643.1,CG1213
FBtr0305954.1,CG1213
FBtr0078645.1,CG14676
FBtr0306740.1,CR10991
FBtr0306741.1,CR10991
FBtr0078665.1,disp
FBtr0112483.1,CG34287
FBtr0078647.1,ECSIT
FBtr0114518.1,CG2017
FBtr0078663.1,CG2017
FBtr0078664.1,CG2017
FBtr0078662.1,CG2017
FBtr0078661.1,CG2017
FBtr0110806.1,CG34113
FBtr0110807.1,CG34113
FBtr0346724.1,CR45761
FBtr0346725.1,CR45762
FBtr0078657.1,CG11373
FBtr0343893.1,CR44925
FBtr0343894.1,CR44926
FBtr0345250.1,Obp83a
FBtr0078656.1,Obp83a
FBtr0345251.1,Obp83a
FBtr0078655.1,Obp83b
FBtr0343895.1,CR44927
FBtr0343896.1,CR44928
FBtr0309320.1,Rm62
FBtr0302597.1,Rm62
FBtr0309321.1,Rm62
FBtr0078654.1,Rm62
FBtr0309319.1,Rm62
FBtr0309322.1,Rm62
FBtr0301947.1,Rm62
FBtr0078649.1,Rm62
FBtr0078651.1,Rm62
FBtr0078653.1,Rm62
FBtr0078650.1,Rm62
FBtr0078652.1,Rm62
FBtr0309318.1,CG10280
FBtr0078648.1,CG10280
FBtr0344315.1,CG11459
FBtr0078623.1,CG11459
FBtr0307114.1,CR1075
FBtr0343897.1,CR44921
FBtr0078621.1,CG15580
FBtr0078620.1,Or83c
FBtr0112922.1,Gasp
FBtr0078619.1,Gasp
FBtr0343898.1,CR44929
FBtr0343899.1,CR44929
FBtr0078584.1,Obp83cd
FBtr0078618.1,Obp83ef
FBtr0078617.1,Obp83g
FBtr0309511.1,Vha14-2
FBtr0078585.1,Vha14-2
FBtr0309512.1,Vha14-2
FBtr0347026.1,CR43486
FBtr0309515.1,CR43486
